Faction,Tier,Name,Rarity,Type,Eng,Tac,Sci,Bonus,Trait
Federation,0,Class F Shuttle,Common,Smc,2,2,2,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Danube Runabout,Common,Smc,3,2,1,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Type 10 Shuttle,Common,Smc,2,2,2,5x Critical Rating from ALL Stats (Not Small Craft),
Federation,0,Type 8 Shuttle,Common,Smc,4,1,1,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Captain's Yacht,Rare,Smc,4,3,3,5x Critical Rating from ALL Stats,
Federation,0,Delta Class Shuttle,Rare,Smc,3,3,4,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Mirror Danube Runabout,Rare,Smc,4,5,1,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Peregrine Attack Fighter,Rare,Smc,3,4,3,5x Critical Rating from ALL Stats,
Federation,0,Stalker Stealth Fighter,Rare,Smc,3,4,3,+10 ALL Stats per ANY Ship (Not Small Craft),
Federation,0,Tal'Kyr Support Craft,Rare,Smc,3,1,6,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,0,Type 7 Shuttle,Rare,Smc,5,3,2,5x Critical Rating from ALL Stats,
Federation,0,Yellowstone Runabout,Rare,Smc,3,4,3,5x Critical Rating from ALL Stats,
Federation,0,Aeon Timeship,Ultra Rare,Smc,3,4,7,-25% Maintenance per ANY Ship (Not Small Craft),
Federation,1,Light Cruiser,Common,Eng,5,5,5,2x Critical Rating from Events,
Federation,1,Utility Cruiser,Common,Eng,6,5,4,2x Critical Rating from Events,
Federation,1,TOS Light Cruiser,Rare,Eng,6,6,6,2.5x Critical Rating from ENG,
Federation,1,Oberth Light Science Vessel,Rare,Sci,4,4,10,2.5x Critical Rating from SCI,
Federation,1,Andorian Light Escort,Rare,Tac,4,10,4,2.5x Critical Rating from TAC,
Federation,1,Blockade Runner Escort,Rare,Tac,6,7,5,1.5x Critical Rating from TAC and ENG,
Federation,1,NX Light Escort,Rare,Tac,5,8,5,1.5x Critical Rating from TAC and SCI,
Federation,2,Cruiser,Common,Eng,14,8,8,+8 ENG per SciShip or TacShip,
Federation,2,Cruiser Refit,Rare,Eng,18,9,9,1.5x Critical Rating from SCI or TAC,
Federation,2,Science Vessel,Common,Sci,8,8,14,+8 SCI per EngShip or TacShip,
Federation,2,Science Vessel Refit,Rare,Sci,9,9,18,1.5x Critical Rating from ENG or TAC,
Federation,2,Temporal Science Vessel,Rare,Sci,6,11,19,Ignores +/- SCI from Events,
Federation,2,Escort,Common,Tac,8,14,8,+8 TAC per EngShip or SciShip,
Federation,2,Escort Refit,Rare,Tac,9,18,9,1.5x Critical Rating from ENG or SCI,
Federation,3,Heavy Cruiser,Common,Eng,23,11,11,2.5x Critical Rating from ENG,
Federation,3,Support Cruiser,Common,Eng,22,10,13,1.5x Critical Rating from ENG and SCI,
Federation,3,Advanced Heavy Cruiser,Rare,Eng,26,16,12,1.5x Critical Rating from TAC and ENG,
Federation,3,Heavy Cruiser Refit,Rare,Eng,28,13,13,Ignore +/- ENG from Events,
Federation,3,Research Science Vessel,Common,Sci,11,11,23,2.5x Critical Rating from SCI,
Federation,3,Advanced Science Vessel,Rare,Sci,13,13,28,Ignore +/- SCI from Events,
Federation,3,Heavy Escort,Common,Tac,11,23,11,2.5x Critical Rating from TAC,
Federation,3,Heavy Escort Refit,Rare,Tac,13,28,13,Ignore +/- TAC from Events,
Federation,3,Temporal Escort,Rare,Tac,9,30,15,Ignores +/- TAC from Events,
Federation,4,Exploration Cruiser,Common,Eng,36,12,12,+8 ENG per SciShip or TacShip,
Federation,4,Exploration Cruiser Refit,Rare,Eng,42,15,15,1.5x Critical Rating from TAC and SCI,
Federation,4,Temporal Cruiser,Rare,Eng,38,20,14,Ignores +/- ENG from Events,
Federation,4,Long Range Science Vessel,Common,Sci,12,12,36,+8 SCI per EngShip or TacShip,
Federation,4,Long Range Science Vessel Refit,Rare,Sci,15,15,42,1.5x Critical Rating from ENG and TAC,
Federation,4,Tactical Escort,Common,Tac,12,36,12,+8 TAC per EngShip or SciShip,
Federation,4,Tactical Escort Refit,Rare,Tac,15,42,15,1.5x Critical Rating from ENG and SCI,
Federation,5,Assault Cruiser,Common,Eng,47,17,11,+10 TAC per TacShip,
Federation,5,Heavy Cruiser Retrofit,Common,Eng,50,14,11,-10% Maintenance per SciShip or TacShip,
Federation,5,Odyssey Star Cruiser,Common,Eng,46,13,16,-5% Maintenance per Ship,
Federation,5,Star Cruiser,Common,Eng,47,11,17,+10 SCI per SciShip,
Federation,5,Advanced Heavy Cruiser Retrofit,Rare,Eng,52,19,19,+5 SCI and TAC per SciShip or TacShip,
Federation,5,Assault Cruiser Refit,Rare,Eng,52,23,15,+8 ENG per TacShip or SciShip,
Federation,5,Battle Cruiser,Rare,Eng,36,42,12,+10 SCI per SciShip,
Federation,5,Dreadnought Cruiser,Rare,Eng,52,20,18,+10 SCI per SciShip,
Federation,5,Exploration Cruiser Retrofit,Rare,Eng,55,15,20,+20 SCI and TAC when Alone,
Federation,5,Support Cruiser Retrofit,Rare,Eng,52,17,21,-10% Maintenance per SciShip or TacShip,
Federation,5,Temporal Battlecruiser,Rare,Eng,42,31,17,x2.5 BONUS from SCI,
Federation,5,Mirror Assault Cruiser,Uncommon,Eng,50,12,21,+10 SCI per TacShip,
Federation,5,Mirror Heavy Cruiser Retrofit,Uncommon,Eng,50,19,14,1.5x Critical Rating from SCI and TAC,
Federation,5,Mirror Star Cruiser,Uncommon,Eng,50,21,12,+10 TAC per SciShip,
Federation,5,Fleet Advanced Heavy Cruiser Retrofit,Very Rare,Eng,62,22,14,+10 ENG per SciShip,
Federation,5,Fleet Assault Cruiser Refit,Very Rare,Eng,60,26,12,+10 SCI per TacShip,
Federation,5,Fleet Battle Cruiser,Very Rare,Eng,38,46,14,+10 ENG per EngShip,
Federation,5,Fleet Dreadnought Cruiser,Very Rare,Eng,56,22,20,+5 SCI and TAC per SciShip or TacShip,
Federation,5,Fleet Exploration Cruiser Retrofit,Very Rare,Eng,66,12,20,2.5x Critical Rating from ENG,
Federation,5,Fleet Heavy Cruiser Retrofit,Very Rare,Eng,62,18,18,+8 ENG per SciShip or TacShip,
Federation,5,Fleet Star Cruiser,Very Rare,Eng,60,12,26,+10 TAC per SciShip,
Federation,5,Fleet Support Cruiser Retrofit,Very Rare,Eng,59,21,18,-10% Maintenance per SciShip and TacShip ,
Federation,5,Odyssey Operations Cruiser,Very Rare,Eng,58,20,20,+35 ENG when Alone,
Federation,5,Odyssey Science Cruiser,Very Rare,Eng,54,20,24,+35 SCI when Alone,
Federation,5,Odyssey Tactical Cruiser,Very Rare,Eng,54,24,20,+35 TAC when Alone,
Federation,5,Deep Space Science Vessel,Common,Sci,17,11,47,+10 ENG per EngShip,
Federation,5,Reconnaissance Science Vessel,Common,Sci,11,17,47,+10 TAC per TacShip,
Federation,5,Research Science Vessel Retrofit,Common,Sci,12,12,51,+10 ENG and TAC when Alone,
Federation,5,Science Vessel Retrofit,Common,Sci,12,16,47,+5 ENG and TAC per EngShip or TacShip,
Federation,5,Advanced Research Vessel Retrofit,Rare,Sci,16,23,51,+8 TAC per EngShip or TacShip,
Federation,5,Caitan Atrox Carrier,Rare,Sci,26,14,50,+20 SCI and TAC when Alone,
Federation,5,D'Kyr Science Vessel,Rare,Sci,23,16,51,+8 ENG per EngShip or TacShip,
Federation,5,Long Range Science Vessel Retrofit,Rare,Sci,20,15,55,+5 TAC and ENG per EngShip or TacShip,
Federation,5,Solanae Dyson Science Destroyer,Rare,Sci,12,28,50,Ignores +/- SCI from Events,
Federation,5,Wells Temporal Science Vessel,Ultra Rare,Sci,23,23,59,2.5x Critical Rating from SCI,
Federation,5,Mirror Deep Space Science Vessel,Uncommon,Sci,12,21,50,+10 ENG per EngShip,
Federation,5,Mirror Reconnaissance Science Vessel,Uncommon,Sci,21,12,50,+10 TAC per TacShip,
Federation,5,Mirror Science Vessel Retrofit,Uncommon,Sci,15,18,50,+5 TAC and ENG per TacShip or EngShip,
Federation,5,Dyson Reconnaissance Science Destroyer,Very Rare,Sci,12,38,48,+35 TAC when Alone,
Federation,5,Dyson Strategic Science Destroyer,Very Rare,Sci,18,32,48,+35 ENG when Alone,
Federation,5,Dyson Surveillance Science Destroyer,Very Rare,Sci,12,32,54,+35 SCI when Alone,
Federation,5,Fleet Advanced Research Vessel Retrofit,Very Rare,Sci,22,16,60,+8 ENG and TAC per TacShip,
Federation,5,Fleet Caitian Atrox Carrier,Very Rare,Sci,28,16,54,+15 All when Alone,
Federation,5,Fleet Deep Space Science Vessel,Very Rare,Sci,20,14,64,+10 ENG per TacShip,
Federation,5,Fleet Long Range Science Vessel Retrofit,Very Rare,Sci,18,18,62,-25% Maintenance per SciShip,
Federation,5,Fleet Reconnaissance Science Vessel,Very Rare,Sci,16,22,60,+10 TAC per EngShip,
Federation,5,Fleet Research Science Vessel Retrofit,Very Rare,Sci,20,16,62,+8 ENG and TAC per EngShip,
Federation,5,Fleet Science Vessel Retrofit,Very Rare,Sci,15,25,58,2.5x Critical Rating from SCI,
Federation,5,Multi-Mission Reconnaissance Explorer,Very Rare,Sci,20,23,55,+35 TAC when Alone,
Federation,5,Multi-Mission Strategic Explorer,Very Rare,Sci,24,19,55,+35 ENG when Alone,
Federation,5,Multi-Mission Surveillance Explorer,Very Rare,Sci,20,19,59,+35 SCI when Alone,
Federation,5,Advanced Escort,Common,Tac,11,47,17,+10 SCI per SciShip,
Federation,5,Aquarius Light Escort,Common,Tac,16,43,16,1.5x Critical Rating from ENG and SCI,
Federation,5,Escort Retrofit,Common,Tac,13,49,13,1.5x Critical Rating from ENG and SCI,
Federation,5,Patrol Escort,Common,Tac,17,47,11,+10 ENG per EngShip,
Federation,5,Blockade Runner Escort Retrofit,Rare,Tac,26,50,14,-5% Maintenance per Ship,
Federation,5,Chimera Heavy Destroyer,Rare,Tac,30,48,12,+8 SCI per SciShip or EngShip,
Federation,5,Heavy Escort Carrier,Rare,Tac,20,56,14,+20 ENG and SCI when Alone,
Federation,5,Multi-Vector Advanced Escort,Rare,Tac,18,50,22,+15 All Stats when Alone,
Federation,5,Patrol Escort Refit,Rare,Tac,22,53,15,+10 TAC per TacShip,
Federation,5,Tactical Escort Retrofit,Rare,Tac,20,55,15,+5 ENG and SCI per SciShip or EngShip,
Federation,5,Mobius Temporal Destroyer,Ultra Rare,Tac,23,59,23,+20 TAC and ENG when Alone,
Federation,5,Mirror Advanced Escort,Uncommon,Tac,12,50,21,+10 ENG per EngShip,
Federation,5,Mirror Escort Retrofit,Uncommon,Tac,17,52,14,+5 SCI and ENG per SciShip or TacShip,
Federation,5,Mirror Patrol Escort,Uncommon,Tac,21,50,12,+10 SCI per SciShip,
Federation,5,Andorian Charal Escort,Very Rare,Tac,24,54,20,+35 ENG when Alone,
Federation,5,Andorian Khyzon Escort,Very Rare,Tac,20,54,24,+35 SCI when Alone,
Federation,5,Andorian Kumari Escort,Very Rare,Tac,20,58,20,+35 TAC when Alone,
Federation,5,Fleet Advanced Escort,Very Rare,Tac,14,63,21,2.5x Critical Rating from SCI,
Federation,5,Fleet Aquarius Light Escort,Very Rare,Tac,23,55,20,+8 ENG and SCI per TacShip,
Federation,5,Fleet Chimera Heavy Destroyer,Very Rare,Tac,32,52,14,+10 SCI per TacShip,
Federation,5,Fleet Escort Retrofit,Very Rare,Tac,20,58,20,2.5x Critical Rating from TAC,
Federation,5,Fleet Heavy Escort Carrier,Very Rare,Tac,22,60,16,+10 ENG per SciShip,
Federation,5,Fleet Patrol Escort Refit,Very Rare,Tac,21,63,14,2.5x Critical Rating from ENG,
Federation,5,Fleet Tactical Escort Retrofit,Very Rare,Tac,19,67,12,+10 SCI per EngShip,
Federation,6,Advanced Heavy Cruiser (T6),Rare,Eng,67,25,16,-25% Maintenance per EngShip,Improved Weaponized Emitters
Federation,6,Advanced Light Cruiser (T6),Rare,Eng,60,25,23,2.5x Critical Rating from ENG,Evasion Specialist
Federation,6,Battlecruiser (T6),Rare,Eng,41,50,17,-25% Maintenance per TacShip,Emergency Weapon Cycle
Federation,6,Command Assault Cruiser (T6),Rare,Eng,62,30,16,+20 TAC and ENG when Alone,Vent Metreon Laced Plasma
Federation,6,Dreadnought Cruiser (T6),Rare,Eng,61,25,22,+15 All Stats when Alone,Subsystem Redundancies
Federation,6,Eclipse Intel Cruiser (T6),Rare,Eng,60,22,26,+10 SCI per EngShip,Battle Ready
Federation,6,Exploration Cruiser (T6),Rare,Eng,70,19,19,+8 SCI and TAC per TacShip,Explosive Polarity Shift
Federation,6,Guardian Cruiser (T6),Rare,Eng,66,21,21,2.5x Critical Rating from TAC,Desperate Repairs
Federation,6,Intel Assault Cruiser (T6),Rare,Eng,62,30,16,+20 TAC and ENG when Alone,Specialist Knowledge
Federation,6,Mirror Guardian Cruiser (T6),Rare,Eng,64,23,21,2.5x Critical Rating from SCI,Desperate Repairs
Federation,6,Tellarite Pralim Flight-Deck Assault Cruiser (T6),Rare,Eng,53,38,17,+10 ENG per TacShip,Majority – Minority
Federation,6,Temporal Battlecruiser (T6),Rare,Eng,47,44,17,2x Critical Rating from Events,Retaliation
Federation,6,Temporal Cruiser (T6),Rare,Eng,56,26,26,+10 ENG per SciShip,Shield Overload
Federation,6,Kelvin Timeline Heavy Command Cruiser (T6),Ultra Rare,Eng,62,36,28,+20 ENG and TAC when Alone,Down But Not Out
Federation,6,Kelvin Timeline Intel Dreadnought Cruiser (T6),Ultra Rare,Eng,59,48,19,Ignores +/- TAC from Events,Target Rich Environment
Federation,6,Prototype Dreadnought Cruiser [T6],Ultra Rare,Eng,62,44,20,+15 All Stats when Alone,Sif Shunt
Federation,6,Temporal Heavy Dreadnought Cruiser (T6),Ultra Rare,Eng,57,42,27,+20 TAC and ENG when Alone,Repair Mode
Federation,6,Temporal Light Cruiser (T6),Ultra Rare,Eng,58,37,30,Ignores +/- ENG from Events,Built To Last
Federation,6,Walker-class Light Exploration Cruiser [T6],Ultra Rare,Eng,58,29,29,+8 SCI per SciShip or TacShip,Vulcan Hello
Federation,6,Concorde Command Battlecruiser (T6),Very Rare,Eng,77,20,20,+35 ENG when Alone,Improved Brace For Impact
Federation,6,Daystrom Science Miracle Worker Cruiser (T6),Very Rare,Eng,57,26,34,'+20 TAC and ENG when Alone,Photonic Boarding Party
Federation,6,Fleet Advanced Heavy Cruiser (T6),Very Rare,Eng,72,27,18,+8 TAC per Any Ship,
Federation,6,Fleet Advanced Light Cruiser (T6),Very Rare,Eng,64,28,25,2x Critical Rating from Events,
Federation,6,Fleet Battlecruiser (T6),Very Rare,Eng,43,55,19,+8 ENG per Any Ship,
Federation,6,Fleet Command Assault Cruiser (T6),Very Rare,Eng,64,37,16,+8 TAC per SciShip or TacShip,
Federation,6,Fleet Dreadnought Cruiser (T6),Very Rare,Eng,66,27,24,2x Critical Rating from Events,
Federation,6,Fleet Eclipse Intel Cruiser (T6),Very Rare,Eng,63,24,30,+8 SCI and TAC per EngShip,
Federation,6,Fleet Exploration Cruiser (T6),Very Rare,Eng,73,22,22,2.5x Critical Rating from ENG,
Federation,6,Fleet Guardian Cruiser (T6),Very Rare,Eng,69,24,24,Ignores +/- ENG from Events,
Federation,6,Fleet Intel Assault Cruiser (T6),Very Rare,Eng,64,37,16,+35 TAC when Alone,
Federation,6,Fleet Tellarite Pralim Flight-Deck Assault Cruiser (T6),Very Rare,Eng,57,41,19,+8 ENG per TacShip or SciShip,
Federation,6,Fleet Temporal Battlecruiser (T6),Very Rare,Eng,54,45,18,+35 TAC when Alone,
Federation,6,Fleet Temporal Cruiser (T6),Very Rare,Eng,61,28,28,+8 ENG per SciShip or TacShip,
Federation,6,Geneva Command Battlecruiser (T6),Very Rare,Eng,73,20,24,+35 SCI when Alone,Improved Tachyon Beam
Federation,6,Operations Star Cruiser (T6),Very Rare,Eng,65,26,26,+10 ENG per TacShip,Adaptive Hull Plating
Federation,6,Presidio Command Battlecruiser (T6),Very Rare,Eng,73,24,20,+35 TAC when Alone,All Hands On Deck
Federation,6,Science Star Cruiser (T6),Very Rare,Eng,63,18,36,+10 SCI per EngShip,Checkmate
Federation,6,Scott Operations Miracle Worker Cruiser (T6),Very Rare,Eng,65,26,26,+20 TAC and SCI when Alone,Stay At Your Posts
Federation,6,Tactical Star Cruiser (T6),Very Rare,Eng,56,36,25,+10 TAC per SciShip,Super Charged Weapons
Federation,6,Tucker Tactical Miracle Worker Cruiser (T6),Very Rare,Eng,57,34,26,+20 SCI and ENG when Alone,Redirecting Arrays
Federation,6,Advanced Research Vessel (T6),Rare,Sci,31,20,57,+8 SCI per EngShip or TacShip,Tachyon Dispersal
Federation,6,Carrier (T6),Rare,Sci,34,29,45,1.5x Critical Rating from TAC and ENG,Insult To Injury
Federation,6,Experimental Science Vessel (T6),Rare,Sci,22,28,58,+8 SCI per Any Ship,Radiant Nanite Cloud
Federation,6,Long Range Science Vessel (T6),Rare,Sci,21,21,66,2.5x Critical Rating from SCI,Ablative Field Projector
Federation,6,Pathfinder Long Range Science Vessel (T6),Rare,Sci,21,21,66,2.5x Critical Rating from SCI,Ablative Field Projector
Federation,6,Scryer Intel Science Vessel (T6),Rare,Sci,26,22,60,+10 TAC per SciShip,Emitter Synergy
Federation,6,Temporal Science Vessel (T6),Rare,Sci,22,36,50,+10 SCI per EngShip,Improved Polarize Hull
Federation,6,Crossfield-class Science Vanguard [T6],Ultra Rare,Sci,20,47,59,2.5x Critical Rating from SCI,Black Alert
Federation,6,Verne Temporal Science Vessel (T6),Ultra Rare,Sci,29,29,68,Ignores +/- SCI from Events,Out of Time
Federation,6,Fleet Advanced Research Vessel (T6),Very Rare,Sci,39,20,58,2.5x Critical Rating from SCI,
Federation,6,Fleet Carrier (T6),Very Rare,Sci,41,30,46,+8 SCI per EngShip or TacShip,
Federation,6,Fleet Experimental Science Vessel (T6),Very Rare,Sci,24,31,62,Ignores +/- SCI from Events,
Federation,6,Fleet Intrepid Long Range Science Vessel (T6),Very Rare,Sci,24,18,69,+8 TAC and ENG per SciShip,
Federation,6,Fleet Scryer Intel Science Vessel (T6),Very Rare,Sci,30,24,63,+8 TAC and ENG per SciShip,
Federation,6,Fleet Temporal Science Vessel (T6),Very Rare,Sci,22,44,51,+8 SCI per EngShip or TacShip,
Federation,6,Multi-Mission Reconnaissance Explorer (T6),Very Rare,Sci,21,44,52,Ignores +/- TAC from Events,Heavy Tachyon Mine
Federation,6,Multi-Mission Strategic Explorer (T6),Very Rare,Sci,32,39,46,Ignores +/- ENG from Events,Exotic Particle Shielding
Federation,6,Multi-Mission Surveillance Explorer (T6),Very Rare,Sci,28,35,54,Ignores +/- SCI from Events,Charged Particle Reaction
Federation,6,Advanced Escort (T6),Rare,Tac,16,68,24,+10 TAC per EngShip,Numerical Superiority
Federation,6,Caitian Shikaris Escort (T6),Rare,Tac,23,49,36,+10 TAC per EngShip,Hit And Run
Federation,6,Heavy Destroyer (T6),Rare,Tac,35,57,16,-25% Maintenance per SciShip,Weapon System Synergy
Federation,6,Heavy Escort Carrier (T6),Rare,Tac,25,65,18,+8 SCI per EngShip or TacShip,Coordinated Assault
Federation,6,Phantom Intel Escort (T6),Rare,Tac,26,60,22,+10 ENG per TacShip,Reciprocity
Federation,6,Tactical Escort (T6),Rare,Tac,23,69,16,2.5x Critical Rating from TAC,Withering Barrage
Federation,6,Temporal Escort (T6),Rare,Tac,22,56,30,+10 TAC per EngShip,Designated Target
Federation,6,Klein Temporal Destroyer (T6),Ultra Rare,Tac,29,68,29,+8 TAC per EngShip or SciShip,1.21 Terrawatts
Federation,6,NX Escort Refit (T6),Ultra Rare,Tac,42,63,21,+8 TAC per Any Ship,Preferential Targeting
Federation,6,Ajax Pilot Escort (T6),Very Rare,Tac,26,66,25,+35 ENG when Alone,Structural Integrity Overcharge
